Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\shepherd_v2\Project Outputs for shepherd_v2\Pick Place\Pick Place for shepherd_pcb_v2.2.csv

========================================================================================================================
File Design Information:

Date:       27.06.21
Time:       23:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer PN","Value"
"U30","74HC4066","TopLayer","PQFN50P250X300X100_HS-15N","70,8500","45,6000","0","74HC4066BQ,115",""
"U29","NLAS4684","TopLayer","PSON50P300X100_HS-11N","74,3000","18,2000","0","NLAS4684MNR2G",""
"U28","NLAS4684","TopLayer","PSON50P300X100_HS-11N","74,3000","21,9000","0","NLAS4684MNR2G",""
"U27","NLAS4684","TopLayer","PSON50P300X100_HS-11N","74,3000","10,7000","0","NLAS4684MNR2G",""
"U26","NLAS4684","TopLayer","PSON50P300X100_HS-11N","74,3000","25,7000","0","NLAS4684MNR2G",""
"U25","NLAS4684","TopLayer","PSON50P300X100_HS-11N","70,7000","40,2000","0","NLAS4684MNR2G",""
"U24","NLAS4684","TopLayer","PSON50P300X100_HS-11N","74,3000","14,5000","0","NLAS4684MNR2G",""
"U23","NLAS4684","TopLayer","PSON50P300X100_HS-11N","70,7000","32,6000","0","NLAS4684MNR2G",""
"U22","LT3487","TopLayer","PSON50P300X100_HS-11N","35,1000","14,2000","0","LT3487EDD#TRPBF",""
"U21","LP2989-3.3","TopLayer","TSOP65P490X110-8N","39,6000","21,3000","0","LP2989IMM-3.3/NOPB",""
"U20","MP3221","TopLayer","SOT95P280X100-6N","52,8000","11,7000","0","MP3221GJ-Z",""
"U19","LP2989-5.0","TopLayer","TSOP65P490X110-8N","52,2000","19,9000","0","LP2989AIMM-5.0/NOPB",""
"U18","TPL5010","TopLayer","SOT95P280X100-6N","24,0000","22,3000","270","TPL5010DDCR",""
"U17","CAT24C256","TopLayer","PSON50P300X55_HS-9N","31,1000","22,8000","0","CAT24C256HU4IGT3",""
"U16","OPA388","TopLayer","SOT95P280X145-5N","68,5000","24,7000","180","OPA388IDBVR",""
"U15","HCT2G04","TopLayer","SOT65P210X110-6N","77,1955","30,7974","90","74HC2G04GW,125",""
"U14","TC7WH08FK","TopLayer","TSSOP50P310X80-8N","77,4000","40,8000","270","TC7WH08FK,LJ(CT",""
"U13","NLAS4684","TopLayer","PSON50P300X100_HS-11N","70,7000","36,4000","0","NLAS4684MNR2G",""
"U12","LSF0108","TopLayer","QFN50P250X450X100_HS-21N","63,8000","10,2000","0","LSF0108BQX",""
"U11","LSF0108","TopLayer","QFN50P250X450X100_HS-21N","63,8000","18,3000","0","LSF0108BQX",""
"U10","OPA189","TopLayer","SOT95P280X145-5N","31,1000","35,3000","180","OPA189IDBVR",""
"U9","ADS8691","TopLayer","TSOP65P640X120-16N","39,1000","30,6000","0","ADS8691IPWR",""
"U8","DAC8562","TopLayer","PSON50P300X80_HS-11N","39,4000","35,3000","0","DAC8562SDSCR",""
"U7","AD8421B","TopLayer","TSOP65P490X110-8N","29,9000","30,5000","90","AD8421BRMZ",""
"U6","ADS8691","TopLayer","TSOP65P640X120-16N","39,9000","40,9000","0","ADS8691IPWR",""
"U5","OPA2388","TopLayer","TSOP65P490X110-8N","30,1000","40,0000","180","OPA2388IDGKR",""
"U4","ADS8691","TopLayer","TSOP65P640X120-16N","54,6000","30,0000","180","ADS8691IPWR",""
"U3","AD8421B","TopLayer","TSOP65P490X110-8N","63,0000","35,3000","270","AD8421BRMZ",""
"U2","DAC8562","TopLayer","PSON50P300X80_HS-11N","49,9000","39,8000","270","DAC8562SDSCR",""
"U1","OPA2388","TopLayer","TSOP65P490X110-8N","56,0000","40,4000","180","OPA2388IDGKR",""
"T3","BSH105","TopLayer","SOT95P230X110-3N","21,4000","14,1000","270","BSH105,215",""
"T2","BSH105","TopLayer","SOT95P230X110-3N","19,2000","17,8000","270","BSH105,215",""
"T1","BSH105","TopLayer","SOT95P230X110-3N","23,5000","18,7000","270","BSH105,215",""
"R123","R_0402_1k","TopLayer","RESC1005X04","66,6000","11,9000","0","ERJ-2GEJ102X","1k"
"R122","R_0402_1k","TopLayer","RESC1005X04","66,6000","7,9000","0","ERJ-2GEJ102X","1k"
"R121","R_0402_1k","TopLayer","RESC1005X04","66,6000","8,9000","0","ERJ-2GEJ102X","1k"
"R120","R_0402_1k","TopLayer","RESC1005X04","66,6000","9,9000","0","ERJ-2GEJ102X","1k"
"R119","R_0402_1k","TopLayer","RESC1005X04","66,6000","10,9000","0","ERJ-2GEJ102X","1k"
"R118","R_0402_1k","TopLayer","RESC1005X04","66,6000","15,5000","0","ERJ-2GEJ102X","1k"
"R117","R_0402_1k","TopLayer","RESC1005X04","66,6000","16,5000","0","ERJ-2GEJ102X","1k"
"R116","R_0402_1k","TopLayer","RESC1005X04","66,6000","17,5000","0","ERJ-2GEJ102X","1k"
"R115","R_0402_1k","TopLayer","RESC1005X04","66,6000","18,5000","0","ERJ-2GEJ102X","1k"
"R114","R_0402_1k","TopLayer","RESC1005X04","66,6000","19,5000","0","ERJ-2GEJ102X","1k"
"R113","R_0402_1k","TopLayer","RESC1005X04","75,6000","33,3000","270","ERJ-2GEJ102X","1k"
"R112","R_0402_1k","TopLayer","RESC1005X04","76,6000","33,3000","270","ERJ-2GEJ102X","1k"
"R111","R_0402_100k_1%","TopLayer","RESC1005X04","38,1000","15,8000","180","ERJ-2RKF1003X","100k"
"R110","R_0402_240k_1%","TopLayer","RESC1005X04","38,1000","14,8000","0","ERJ-2RKF2403X","240k"
"R109","R_0402_470R","TopLayer","RESC1005X04","39,7000","15,3000","90","ERJ-2GEJ471X","470R"
"R108","R_0402_240k_1%","TopLayer","RESC1005X04","39,5000","12,8000","270","ERJ-2RKF2403X","240k"
"R107","R_0402_10k","TopLayer","RESC1005X04","19,3000","11,5000","180","ERJ-2GEJ103X","10k"
"R106","R_0402_470R","TopLayer","RESC1005X04","31,6000","20,3000","0","ERJ-2GEJ471X","470R"
"R105","R_0402_100k_1%","TopLayer","RESC1005X04","50,3000","10,8000","90","ERJ-2RKF1003X","100k"
"R104","R_0402_576k_1%","TopLayer","RESC1005X04","50,3000","12,8000","90","ERJ-2RKF5763X","576k"
"R103","R_0402_10k","TopLayer","RESC1005X04","52,6000","22,3000","0","ERJ-2GEJ103X","10k"
"R102","R_0402_10k","TopLayer","RESC1005X04","21,3000","19,3000","270","ERJ-2GEJ103X","10k"
"R101","R_0402_100k_1%","TopLayer","RESC1005X04","21,9000","21,3000","90","ERJ-2RKF1003X","100k"
"R100","R_0402_470R","TopLayer","RESC1005X04","18,7000","15,5000","180","ERJ-2GEJ471X","470R"
"R99","R_0402_24k","TopLayer","RESC1005X04","21,9000","23,3000","270","ERJ-2GEJ243X","24k"
"R98","R_0402_10k","TopLayer","RESC1005X04","25,7000","19,0000","90","ERJ-2GEJ103X","10k"
"R97","R_0402_10k","TopLayer","RESC1005X04","18,7000","14,5000","0","ERJ-2GEJ103X","10k"
"R96","R_0402_10k","TopLayer","RESC1005X04","28,1000","24,0000","0","ERJ-2GEJ103X","10k"
"R95","R_0402_10k","TopLayer","RESC1005X04","28,1000","23,0000","0","ERJ-2GEJ103X","10k"
"R94","R_0402_1k","TopLayer","RESC1005X04","59,3000","47,3000","90","ERJ-2GEJ102X","1k"
"R93","R_0402_1k","TopLayer","RESC1005X04","31,8000","47,2000","90","ERJ-2GEJ102X","1k"
"R92","R_0402_1k","TopLayer","RESC1005X04","58,2000","47,3000","90","ERJ-2GEJ102X","1k"
"R91","R_0402_1k","TopLayer","RESC1005X04","30,8000","47,2000","90","ERJ-2GEJ102X","1k"
"R90","R_0402_10k","TopLayer","RESC1005X04","28,1000","22,0000","180","ERJ-2GEJ103X","10k"
"R89","R_0402_10k","TopLayer","RESC1005X04","34,2000","22,8000","0","ERJ-2GEJ103X","10k"
"R88","R_0402_10k","TopLayer","RESC1005X04","43,2000","7,5000","90","ERJ-2GEJ103X","10k"
"R87","R_0402_10k","TopLayer","RESC1005X04","44,3000","7,5000","90","ERJ-2GEJ103X","10k"
"R86","R_0402_33R","TopLayer","RESC1005X04","74,6000","47,2000","90","ERJ-2GEJ330X","33R"
"R85","R_0402_33R","TopLayer","RESC1005X04","75,6000","47,2000","90","ERJ-2GEJ330X","33R"
"R84","R_0402_33R","TopLayer","RESC1005X04","74,5000","7,4000","90","ERJ-2GEJ330X","33R"
"R81","R_0402_33R","TopLayer","RESC1005X04","73,4000","7,4000","90","ERJ-2GEJ330X","33R"
"R78","R_0402_33R","TopLayer","RESC1005X04","67,0000","47,2000","90","ERJ-2GEJ330X","33R"
"R77","R_0402_33R","TopLayer","RESC1005X04","68,1000","47,2000","90","ERJ-2GEJ330X","33R"
"R76","R_0402_33R","TopLayer","RESC1005X04","58,5000","7,5000","90","ERJ-2GEJ330X","33R"
"R75","R_0402_33R","TopLayer","RESC1005X04","56,3000","7,5000","90","ERJ-2GEJ330X","33R"
"R74","R_0402_33R","TopLayer","RESC1005X04","57,4000","7,5000","270","ERJ-2GEJ330X","33R"
"R73","R_0402_33R","TopLayer","RESC1005X04","55,2000","7,5000","90","ERJ-2GEJ330X","33R"
"R72","R_0402_33R","TopLayer","RESC1005X04","57,0000","47,3000","270","ERJ-2GEJ330X","33R"
"R71","R_0402_33R","TopLayer","RESC1005X04","54,1000","7,5000","90","ERJ-2GEJ330X","33R"
"R70","R_0402_33R","TopLayer","RESC1005X04","53,0000","7,5000","90","ERJ-2GEJ330X","33R"
"R69","R_0402_33R","TopLayer","RESC1005X04","54,7000","47,3000","90","ERJ-2GEJ330X","33R"
"R68","R_0402_1k","TopLayer","RESC1005X04","50,2000","7,5000","90","ERJ-2GEJ102X","1k"
"R67","R_0402_1k","TopLayer","RESC1005X04","53,6000","47,3000","270","ERJ-2GEJ102X","1k"
"R66","R_0402_1k","TopLayer","RESC1005X04","48,8000","7,5000","90","ERJ-2GEJ102X","1k"
"R65","R_0402_1k","TopLayer","RESC1005X04","40,7000","7,5000","90","ERJ-2GEJ102X","1k"
"R64","R_0402_1k","TopLayer","RESC1005X04","39,3000","7,5000","270","ERJ-2GEJ102X","1k"
"R63","R_0402_1k","TopLayer","RESC1005X04","40,0000","47,2000","270","ERJ-2GEJ102X","1k"
"R62","R_0402_1k","TopLayer","RESC1005X04","41,3000","47,2000","90","ERJ-2GEJ102X","1k"
"R61","R_0402_1k","TopLayer","RESC1005X04","36,4000","47,2000","270","ERJ-2GEJ102X","1k"
"R60","R_0402_1k","TopLayer","RESC1005X04","37,7000","47,2000","90","ERJ-2GEJ102X","1k"
"R59","R_0402_1k","TopLayer","RESC1005X04","34,1000","47,2000","270","ERJ-2GEJ102X","1k"
"R58","R_0402_10R","TopLayer","RESC1005X04","69,4000","21,5000","180","ERJ-2GEJ100X","10R"
"R57","R_0402_1k","TopLayer","RESC1005X04","76,4000","43,9000","90","ERJ-2GEJ102X","1k"
"R56","R_0402_1k","TopLayer","RESC1005X04","78,2000","43,9000","90","ERJ-2GEJ102X","1k"
"R55","R_0402_100k_1%","TopLayer","RESC1005X04","61,2000","14,0000","90","ERJ-2RKF1003X","100k"
"R54","R_0402_240k_1%","TopLayer","RESC1005X04","64,2000","14,0000","90","ERJ-2RKF2403X","240k"
"R53","R_0402_1M","TopLayer","RESC1005X04","62,2000","14,0000","90","ERJ-2GEJ105X","1M"
"R52","R_0402_10k","TopLayer","RESC1005X04","68,7000","11,9000","0","ERJ-2GEJ103X","10k"
"R51","R_0402_10k","TopLayer","RESC1005X04","55,9000","47,3000","90","ERJ-2GEJ103X","10k"
"R50","R_0402_10k","TopLayer","RESC1005X04","68,7000","7,9000","0","ERJ-2GEJ103X","10k"
"R49","R_0402_10k","TopLayer","RESC1005X04","41,8000","7,5000","270","ERJ-2GEJ103X","10k"
"R48","R_0402_10k","TopLayer","RESC1005X04","68,7000","8,9000","0","ERJ-2GEJ103X","10k"
"R47","R_0402_10k","TopLayer","RESC1005X04","38,2000","7,5000","270","ERJ-2GEJ103X","10k"
"R46","R_0402_10k","TopLayer","RESC1005X04","68,7000","9,9000","0","ERJ-2GEJ103X","10k"
"R45","R_0402_10k","TopLayer","RESC1005X04","51,3000","7,5000","270","ERJ-2GEJ103X","10k"
"R44","R_0402_10k","TopLayer","RESC1005X04","68,7000","10,9000","0","ERJ-2GEJ103X","10k"
"R43","R_0402_10k","TopLayer","RESC1005X04","47,7000","7,5000","270","ERJ-2GEJ103X","10k"
"R42","R_0402_10k","TopLayer","RESC1005X04","68,7000","15,5000","0","ERJ-2GEJ103X","10k"
"R41","R_0402_10k","TopLayer","RESC1005X04","52,5000","47,3000","90","ERJ-2GEJ103X","10k"
"R40","R_0402_10k","TopLayer","RESC1005X04","68,7000","16,5000","0","ERJ-2GEJ103X","10k"
"R39","R_0402_10k","TopLayer","RESC1005X04","38,7000","47,2000","90","ERJ-2GEJ103X","10k"
"R38","R_0402_10k","TopLayer","RESC1005X04","68,7000","17,5000","0","ERJ-2GEJ103X","10k"
"R37","R_0402_10k","TopLayer","RESC1005X04","35,4000","47,2000","90","ERJ-2GEJ103X","10k"
"R36","R_0402_10k","TopLayer","RESC1005X04","68,7000","18,5000","0","ERJ-2GEJ103X","10k"
"R35","R_0402_100k_1%","TopLayer","RESC1005X04","61,2000","22,1000","90","ERJ-2RKF1003X","100k"
"R34","R_0402_10k","TopLayer","RESC1005X04","42,3000","47,2000","90","ERJ-2GEJ103X","10k"
"R33","R_0402_10k","TopLayer","RESC1005X04","68,7000","19,5000","0","ERJ-2GEJ103X","10k"
"R32","R_0402_10k","TopLayer","RESC1005X04","33,1000","47,2000","90","ERJ-2GEJ103X","10k"
"R31","R_0402_240k_1%","TopLayer","RESC1005X04","64,2000","22,1000","90","ERJ-2RKF2403X","240k"
"R30","R_0402_1M","TopLayer","RESC1005X04","62,2000","22,1000","90","ERJ-2GEJ105X","1M"
"R29","R_0402_210R_0.1%","TopLayer","RESC1005X04","30,0000","27,0000","180","RT0402BRD07210RL","210R"
"R28","R_0402_10k","TopLayer","RESC1005X04","36,1000","34,3000","180","ERJ-2GEJ103X","10k"
"R27","R_0402_1k","TopLayer","RESC1005X04","35,6000","35,3000","180","ERJ-2GEJ102X","1k"
"R26","R_0402_10k","TopLayer","RESC1005X04","43,7000","29,6000","0","ERJ-2GEJ103X","10k"
"R25","R_0402_470R","TopLayer","RESC1005X04","40,0000","27,0000","180","ERJ-2GEJ471X","470R"
"R24","R_0402_1k","TopLayer","RESC1005X04","36,1000","36,6000","180","ERJ-2GEJ102X","1k"
"R23","R_0402_10k","TopLayer","RESC1005X04","42,7000","33,9000","0","ERJ-2GEJ103X","10k"
"R22","R_0402_100k_1%","TopLayer","RESC1005X04","38,0000","27,0000","180","ERJ-2RKF1003X","100k"
"R21","R_1206_2R_0.25%","TopLayer","RESC3116X06_Shunt","24,0000","30,2000","270","RT1206CRD072RL","2R"
"R20","R_0402_1k","TopLayer","RESC1005X04","28,3000","36,3000","180","ERJ-2GEJ102X","1k"
"R19","R_0402_10R","TopLayer","RESC1005X04","30,3000","43,1000","180","ERJ-2GEJ100X","10R"
"R18","R_0402_1k","TopLayer","RESC1005X04","31,8000","42,6000","270","ERJ-2GEJ102X","1k"
"R17","R_0402_10k","TopLayer","RESC1005X04","44,0000","39,4000","270","ERJ-2GEJ103X","10k"
"R16","R_0402_1k","TopLayer","RESC1005X04","32,3000","38,0000","0","ERJ-2GEJ102X","1k"
"R15","R_0402_1k","TopLayer","RESC1005X04","28,8000","42,6000","90","ERJ-2GEJ102X","1k"
"R14","R_0402_1k","TopLayer","RESC1005X04","34,7000","38,6000","270","ERJ-2GEJ102X","1k"
"R13","R_0402_10k","TopLayer","RESC1005X04","43,6000","27,0000","180","ERJ-2GEJ103X","10k"
"R12","R_0402_210R_0.1%","TopLayer","RESC1005X04","60,7000","36,1000","270","RT0402BRD07210RL","210R"
"R11","R_0402_10k","TopLayer","RESC1005X04","49,9000","31,0000","0","ERJ-2GEJ103X","10k"
"R10","R_0402_100k_1%","TopLayer","RESC1005X04","60,2000","34,5000","180","ERJ-2RKF1003X","100k"
"R9","R_1206_2R_0.25%","TopLayer","RESC3116X06_Shunt","62,5000","40,1000","0","RT1206CRD072RL","2R"
"R8","R_0402_1k","TopLayer","RESC1005X04-SEL","62,2250","42,4000","0","ERJ-2GEJ102X","1k"
"R7","R_0402_10k","TopLayer","RESC1005X04","48,8000","42,9000","180","ERJ-2GEJ103X","10k"
"R6","R_0402_10k","TopLayer","RESC1005X04","48,4000","31,8000","90","ERJ-2GEJ103X","10k"
"R5","R_0402_1k","TopLayer","RESC1005X04","50,9000","42,9000","0","ERJ-2GEJ102X","1k"
"R4","R_0402_10k","TopLayer","RESC1005X04","48,5000","36,4000","270","ERJ-2GEJ103X","10k"
"R3","R_0402_1k","TopLayer","RESC1005X04","52,5000","42,2000","270","ERJ-2GEJ102X","1k"
"R2","R_0402_2R","TopLayer","RESC1005X04","55,1000","37,7000","270","ERJ-2GEJ2R0X","2R"
"R1","R_0402_1k","TopLayer","RESC1005X04-SEL","57,2250","38,2000","0","ERJ-2GEJ102X","1k"
"P11","HDR_2x7_2.54mm_header","TopLayer","P_Pinheader_2x7_R2.54mm_male","82,5500","17,1480","270","10129381-914004BLF",""
"P10","HDR_2x7_2.54mm_header","TopLayer","P_Pinheader_2x7_R2.54mm_target","82,5500","37,4680","270","10129381-914004BLF",""
"P9","Beaglebone P9","TopLayer","P_Pinheader_2x23_R2.54mm_LongPinHeader","48,2600","3,1750","0","SSQ-123-03-G-D",""
"P8","Beaglebone P8","TopLayer","P_Pinheader_2x23_R2.54mm_LongPinHeader","48,2600","51,4350","0","SSQ-123-03-G-D",""
"P6","HDR_2x2_2.54mm_header","TopLayer","P_Pinheader_2x2_R2.54mm","21,5900","43,8540","0","861400042YO2319LF",""
"P2","JST_S4B_ZR-SM4A","TopLayer","P_JST_S4B-ZR-SM4A","14,4500","14,2500","180","S4B-ZR-SM4A-TF(LF)(SN)",""
"M4","SMS-455Frame","TopLayer","SMS-455F","35,9750","35,1750","0","SMS-455-N-F",""
"M2","SMS-455Frame","TopLayer","SMS-455F","56,2750","35,1750","0","SMS-455-N-F",""
"L14","FB_0603_Z600R_1300mA","TopLayer","INDC1608X08","20,5000","7,9000","90","BLM18KG601SN1D","150mR"
"L13","NR3015T1R5M","TopLayer","INDP3030X15N","43,2000","16,9000","0","NR3015T1R5N","1.5uH"
"L12","NR3015T150M","TopLayer","INDP3030X15N","35,8000","10,7000","0","NR3015T150M","15uH"
"L11","NR3015T1R5M","TopLayer","INDP3030X15N","43,2500","13,3000","0","NR3015T1R5N","1.5uH"
"L10","FB_0603_Z600R_1300mA","TopLayer","INDC1608X08","18,9000","7,9000","90","BLM18KG601SN1D","150mR"
"L9","NR3015T150M","TopLayer","INDP3030X15N","29,7000","11,6000","270","NR3015T150M","15uH"
"L8","NR3015T150M","TopLayer","INDP3030X15N","29,7000","15,8000","90","NR3015T150M","15uH"
"L7","NR3015T1R5M","TopLayer","INDP3030X15N","57,7000","20,4000","90","NR3015T1R5N","1.5uH"
"L6","FB_0603_Z600R_1300mA","TopLayer","INDC1608X08","47,9000","17,2000","90","BLM18KG601SN1D","150mR"
"L5","NR3015T150M","TopLayer","INDP3030X15N","53,0000","15,2000","180","NR3015T150M","15uH"
"L4","FB_0603_Z600R_1300mA","TopLayer","INDC1608X08","28,9000","7,9000","90","BLM18KG601SN1D","150mR"
"L3","NR3015T1R5M","TopLayer","INDP3030X15N","26,0000","11,6000","90","NR3015T1R5N","1.5uH"
"L2","FB_0603_Z600R_1300mA","TopLayer","INDC1608X08","25,4000","7,9000","270","BLM18KG601SN1D","150mR"
"L1","FB_0603_Z600R_1300mA","TopLayer","INDC1608X08","23,6000","7,9000","90","BLM18KG601SN1D","150mR"
"J1","J_T1x2_3.5mm_Screw","TopLayer","P_Phoenix_1984617","14,8000","5,2000","270","1984617",""
"D17","D_LED_0603_Green","TopLayer","DIOM1608X02N_Green","79,3000","2,3000","0","150060VS55040","Green"
"D16","D_LED_0603_Green","TopLayer","DIOM1608X02N_Green","79,3000","52,3000","0","150060VS55040","Green"
"D15","D_SOD523_370mV_500mA","TopLayer","SODFL160X70-2N","22,3000","11,5000","0","NSR05T30XV2T5G","370mV / 30V"
"D14","D_SOD523_370mV_500mA","TopLayer","SODFL160X70-2N","22,0000","16,4000","180","NSR05T30XV2T5G","370mV / 30V"
"D13","D_LED_0603_Green","TopLayer","DIOM1608X02N_Green","29,2000","20,4000","0","150060VS55040","Green"
"D12","D_SOD523_370mV_500mA","TopLayer","SODFL160X70-2N","56,6000","11,4000","270","NSR05T30XV2T5G","370mV / 30V"
"D11","D_SOD523_370mV_500mA","TopLayer","SODFL160X70-2N","50,3000","15,1000","90","NSR05T30XV2T5G","370mV / 30V"
"D10","D_SOD523_370mV_500mA","TopLayer","SODFL160X70-2N","22,3000","10,1000","0","NSR05T30XV2T5G","370mV / 30V"
"D9","D_SOD523_370mV_500mA","TopLayer","SODFL160X70-2N","26,3000","21,1000","270","NSR05T30XV2T5G","370mV / 30V"
"D8","D_LED_0603_Green","TopLayer","DIOM1608X02N_Green","65,0000","47,0000","0","150060VS55040","Green"
"D7","D_LED_0603_Green","TopLayer","DIOM1608X02N_Green","49,7000","47,0000","0","150060VS55040","Green"
"D6","D_LED_0603_Amber","TopLayer","DIOM1608X02N_Orange","61,9000","47,0000","0","150060AS75000","Amber"
"D5","D_LED_0603_Amber","TopLayer","DIOM1608X02N_Orange","46,6000","47,0000","0","150060AS75000","Amber"
